id,script
0," Ein Land der Ingenieure und Erfinder wird durch Verbote ausgebremst. Keine Verbrenner, keine Öl- und Gasheizung. Wir sagen Schluss mit ideologischen Experimenten. Die AfD setzt auf echte Technologieoffenheit, auf Forschung statt Bevormundung. Fortschritt entsteht durch Vielfalt der Ideen, nicht durch grüne Vorschriften. Und nicht durch Verbote. Wir machen Deutschland wieder zum Innovationsland. Deshalb am 23. Februar mit beiden Stimmen Alternative für Deutschland."
1," Die komplett ungesteuerte, illegale, massenweise Einwanderung. Die Leute strömen ja immer noch zu Hunderttausenden in unser Land. Das kann man gar nicht mehr bewältigen. Deshalb am 23. Februar AfD."
2," Friedrich Merz hat das Zustrombegrenzungsgesetz, was gerade abgelehnt wurde, im Dezember von der Tagesordnung genommen, aus Angst vor Zufallsmehrheiten. Das müssen Sie sich mal vorstellen. Hätten wir das beschließen können, dann hätte es vielleicht auch die einen oder anderen Toten nicht gegeben."
3, Könnt ihr euch noch daran erinnern? Agnes Strack-Zimmermann? Sie möge gehen. Robert Habeck will auch Krieg. Er möge bitte selbst gehen. Frau Baerbock möchte Krieg. Sie soll bitte gehen. Diese verantwortlichen Entscheidungsträger und Politiker mögen selbst gehen.
4," Willkommen beim großen AfD-Klüngelkalender. Heute. Nancy behält alle hier. Nancy, hast du mitbekommen, dass Syrien befreit wurde? Ja, das habe ich mitbekommen. Meine Syrer bleiben trotzdem hier. Ja, aber die könnten doch jetzt zurück in ihre Heimat, Nancy. Nein, meine Syrer bleiben hier für immer. Ja, aber die haben doch keinen Fluchtgrund mehr. Sollten die denn nicht dabei helfen, ihre Heimat wieder aufzubauen? Ich sagte, die bleiben hier. Wenn du nochmal fragst, beobachtet dich der Verfassungsschutz. Und was sollten die Menschen machen, die eine Rückkehr der Syrer in die Heimat wollen? Die sollten die AfD wählen. Du kannst nicht genug bekommen vom AfD-Klüngelkalender. Jetzt Kanal abonnieren und keine Folge mehr verpassen."
5," Willkommen beim großen AfD-Klüngelkalender. Heute Karlchen und sein Lachsfisch. Na Karlchen, was gibt es denn bei dir am Heiligabend zu essen? Fisch, Lachsfisch und Spinat und andere fischfiegetarische Gerichte. Oh, das klingt nach einem gesunden Essen, Karl. Ja, das ist es auch. Ich esse keinen Lachsfisch, der nicht doppelt geimpft und dreimal geboostert ist. Und was sollen die Bürger machen, die diesen Sing-Sang und dein Gefasel vom Impfen nicht mehr ertragen können? Die sollten die AfD wählen. Du kannst nicht genug bekommen vom AfD-Klüngelkalender. Jetzt Kanal abonnieren und keine Folge mehr verpassen. Bis zum nächsten Mal. Bis zum nächsten Mal."
6," Sie brauchen wir eigentlich nicht mehr vorzustellen, aber weil es so schön ist. Sie studierte Volks- und Betriebswirtschaftslehre, promovierte Magna Cum Laude und arbeitete bei verschiedenen namhaften Großunternehmen. Seit 2013 ist sie in der AfD und schon jetzt ist sie unsere Kanzlerin der Herzen. Meine sehr verehrten Damen und Herren, bitte begrüßen Sie unsere Kanzlerkandidatin. Hier ist Alice Weidel. Untertitelung des ZDF, 2020 Ich liebe euch! Alle! Ich bin in die AfD eingetreten, weil ich wusste, dass der Euro keinen Bestand haben wird. Aber dass das Land innerhalb von zehn Jahren so abrutscht, das hätte ich mir nicht erträumt. Mit Zwang und Verboten in allen möglichen Bereichen wollte diese Ampeleinheitspartei, der sich ja auch die Unionsparteien immer mehr annähern, das ist ja kaum noch zu unterscheiden, die Bürger zu untertanen machen. Und meine persönliche Motivation in der Politik in solchen Situationen war immer meine Orientierung nach der Freiheit. Nach der Redefreiheit, der Meinungsfreiheit, der Pressefreiheit, all diese Freiheiten zu bewahren. Und ich glaube, das muss auch das Ziel in diesem Wahlkampf sein. Du bist eine Kämpfernatur. Du inspirierst und motivierst mit deinem Vorbild immer mehr Menschen dazu, sich in der AfD und hinter der AfD zu versammeln. Und du trittst den Gegnern der Freiheit mit deinem messerscharfen Intellekt entschlossen entgegen. Ich hoffe, dass die AfD gut macht und dass Alice Biedel jetzt ein Chancellor wird. Ich denke, das wäre sehr gut für Deutschland. Wenn du das Zukunftsfutreieinig bist, musst du es gut machen und kämpfen, dass es gut ist. Das ist, wie es gut wird. Wir werden alle Weichen auf Freiheit stellen und die Bürger und Unternehmen entlasten. Das ist unser Credo. Wir wollen, dass sich ausländische Unternehmen wieder in Deutschland ansiedeln. Wir wollen Deutschland wieder stark machen und reich. Wir wollen Deutschland wieder in Deutschland wieder in Deutschland wieder in Deutschland. Nochmal der Appell an euch alle. Geht von Tür zu Tür. Überzeugt eure Familien, eure Freunde. Überzeugt die Menschen. Die Alternative für Deutschland ist dafür da, dieses Land zu schützen und wieder groß und stolz zu machen. Liebe Freunde, lasst uns dafür gemeinsam kämpfen. Vielen herzlichen Dank. Vielen herzlichen Dank. Vielen Dank."
7," Trump hat ja einen Wahlkampf gemacht mit Lügen, mit Hass und Hetze, wie wir es vorher noch nie gekannt haben. Ist er auch in dieser Hinsicht ein Vorbild für Sie? Wollen Sie künftig den Tod noch verschärfen? Also Sie framen jetzt mich mit Hass und Hetze, also genau diese ganze Rhetorik, die Sie gegen Donald Trump aufgefahren haben. Und da lassen Sie mich eins sagen. Donald Trump hat genau deshalb, wegen der Hass und Hetze, wegen der Verächtlichmachung aus dem Ausland von den Mainstream-Medien, hat er diese Wahlen ja auch gewonnen, weil die Leute sich nicht mehr für dumm verkaufen lassen. Dieser ganze Wokelinke-Schwachsinn, der hier auch mit von den Mainstream-Medien gestützt wird, das lassen die Leute nicht mehr mit sich machen. Und vor allen Dingen haben die jungen Leute Donald Trump gewählt. Warum? Weil sie vernünftig ausgebildet werden wollen und nicht mehr diesen ganzen Wokelinke-Genderquatsch gelehrt bekommen wollen, sondern echte Zukunftsperspektiven mit einem vernünftigen Bildungssystem. Und genau daran krankt es in der Bundesrepublik Deutschland aus. Ich werde Ihnen sagen, ich werde Ihnen sagen, was passiert, wenn die AfD in der Regierung sitzt. Sie wird genau diesen ganzen Genderquatsch aus dem Bildungsplan rauswerfen und den jungen Menschen in diesem Land, der arbeitenden Bevölkerung, Perspektiven geben."
8," Denn diese Politik, die wir wollen, würde dazu führen, dass Europa wieder stark wird, mit einer starken Führung. Und die Führung ließ nicht den ungewählten Kommission. Es ist nicht von der Leyen. Sie hat überhaupt gar kein Mandat. Sie ist nicht mal gewählt. Die Kompetenzen, die Souveränitäten, die Entscheidungen müssen in den gewählten Nationalparlamenten liegen. Und dazu braucht es starke, selbstbewusste, reiche Nationen."
9," Ich habe den Eindruck, dass diese Politik gegen die eigene Bevölkerung geführt wird. Jeder, der morgens zur Arbeit fährt, eine Familie gründet, seine Steuern zahlt, wird auch von dieser Regierung komplett über den Tisch gezogen. Und auch die vielen Rentner. Es kann doch nicht sein, dass Menschen, die jahrzehntelang in die Rentenkasse eingezahlt haben, heutzutage Flaschen sammeln gehen. 25 Prozent der Rentner sind in der Grundsicherung mit weniger als 1000 Euro. Das ist etwas, das für mich unverantwortlich ist. Und damit werden wir, sobald die AfD in Regierungsverantwortung ist, werden wir mit diesem Kurs Schluss machen."
