id,script
0," A country of engineers and inventors is being slowed down by bans. No combustion engines, no oil and gas heating. We say no more ideological experiments. The AfD is committed to genuine technological openness, to research instead of paternalism. Progress comes from a diversity of ideas, not from green regulations. And not through bans. We are turning Germany back into a country of innovation. Therefore, on February 23, vote for Alternative for Germany."
1," The completely uncontrolled, illegal, mass immigration. People are still pouring into our country by the hundreds of thousands. We can no longer cope with that. That's why we voted AfD on February 23."
2," Friedrich Merz took the influx limitation law, which had just been rejected, off the agenda in December for fear of random majorities. You have to imagine that. If we had been able to pass it, there might not have been one or two deaths."
3, Can you still remember that? Agnes Strack-Zimmermann? Let her go. Robert Habeck also wants war. Please let him go himself. Ms. Baerbock wants war. Please let her go. These responsible decision-makers and politicians should go themselves.
4," Welcome to the big AfD clique calendar. Today. Nancy keeps everyone here. Nancy, did you hear that Syria has been liberated? Yes, I heard that. My Syrians are staying here anyway. Yes, but they could go back to their home country now, Nancy. No, my Syrians are staying here forever. Yes, but they no longer have a reason to flee. Shouldn't they be helping to rebuild their home country? I said they're staying here. If you ask again, the Office for the Protection of the Constitution is watching you. And what should the people who want the Syrians to return home do? They should vote for the AfD. You can't get enough of the AfD's clique calendar. Subscribe to the channel now and never miss another episode."
5," Welcome to the AfD's big clique calendar. Today it's Karlchen and his salmon fish. Well Karlchen, what are you having for Christmas Eve? Fish, salmon fish and spinach and other fishy-fiegetic dishes. Oh, that sounds like a healthy meal, Karl. Yes, it is. I don't eat salmon fish that isn't double-vaccinated and triple-boosted. And what should the citizens do who can no longer stand this chanting and your drivel about vaccination? They should vote for the AfD. You just can't get enough of the AfD's clique calendar. Subscribe to the channel now and never miss another episode. See you next time. See you next time."
6," We don't really need to introduce her anymore, but because it's so nice. She studied economics and business administration, graduated Magna Cum Laude and worked for various well-known large companies. She joined the AfD in 2013 and is already our Chancellor of Hearts. Ladies and gentlemen, please welcome our candidate for Chancellor. This is Alice Weidel. ZDF subtitling, 2020 I love you! All of you! I joined the AfD because I knew that the euro would not last. But I would never have dreamed that the country would slide so far within ten years. With coercion and bans in all kinds of areas, this ampeleinheitspartei, which the CDU/CSU parties are also moving ever closer to, it's almost indistinguishable, wanted to turn the citizens into subjects. And my personal motivation in politics in such situations has always been my orientation towards freedom. Freedom of speech, freedom of opinion, freedom of the press, to preserve all these freedoms. And I believe that must also be the goal in this election campaign. You are a fighter. With your example, you inspire and motivate more and more people to join the AfD and rally behind the AfD. And you resolutely confront the opponents of freedom with your razor-sharp intellect. I hope that the AfD does well and that Alice Biedel now becomes a Chancellor. I think that would be very good for Germany. If you are the Future Future, you have to make it good and fight for it to be good. That's how it will be good. We will set the course for freedom and relieve the burden on citizens and companies. That is our credo. We want foreign companies to settle in Germany again. We want to make Germany strong and rich again. We want Germany back in Germany back in Germany back in Germany. Once again, an appeal to all of you. Go from door to door. Convince your families, your friends. Convince the people. The Alternative for Germany is there to protect this country and make it great and proud again. Dear friends, let's fight for this together. Thank you very much. Thank you very much. Thank you very much."
7," Trump ran an election campaign with lies, hatred and agitation like we've never seen before. Is he also a role model for you in this respect? Do you want to intensify death in the future? So now you're asking me about hatred and incitement, i.e. all the rhetoric you've used against Donald Trump. And let me say one thing. Donald Trump won these elections precisely because of the hatred and incitement, because of the disparagement from abroad by the mainstream media, because people are no longer being taken for fools. All this Wokelinke nonsense, which is also supported by the mainstream media, people are no longer prepared to put up with it. And above all, young people voted for Donald Trump. Why? Because they want to be educated properly and no longer want to be taught all this woke left-wing gender nonsense, but want real prospects for the future with a proper education system. And that's exactly what's wrong with the Federal Republic of Germany. I will tell you, I will tell you what happens when the AfD is in government. They will throw all this gender nonsense out of the education plan and give the young people in this country, the working population, prospects."
8," Because this policy, which we want, would lead to Europe becoming strong again, with strong leadership. And the leadership would not be left to the unelected Commission. It is not von der Leyen. She has no mandate at all. She is not even elected. The competencies, the sovereignty, the decisions must lie with the elected national parliaments. And that requires strong, self-confident, rich nations."
9," I have the impression that this policy is being conducted against its own people. Everyone who drives to work in the morning, raises a family and pays their taxes is also being completely ripped off by this government. And also the many pensioners. It can't be right that people who have paid into the pension fund for decades are now going out to collect bottles. 25 percent of pensioners are on basic benefits with less than 1000 euros. That is something that I find irresponsible. And as soon as the AfD is in government, we will put an end to this course."
